品牌,商场名,地址,所属城市,格式化地址
沃尔玛,沃尔玛购物广场东莞塘厦莲湖分店,东莞市塘厦镇塘厦大道中79号盈锋莲湖广场地上第二层及地上第三层,东莞,广东省东莞市东莞市市辖区迎宾大道15-d号
沃尔玛,沃尔玛购物广场东莞大岭山玉屏路分店,东莞市大岭山镇矮岭冚107国道旁领尚天地第10栋集中商业区二三楼。,东莞, 广东省东莞市东莞市市辖区大岭山镇
沃尔玛,沃尔玛购物广场大朗富华中路分店,东莞市大朗镇富华中路181号,东莞,广东省东莞市东莞市市辖区美景中路1
沃尔玛,沃尔玛购物广场东莞石龙东升路分店,东莞市石龙镇中山东社区东升路18号汇星商业中心1号商业楼地上第二层及地上第三层,东莞,广东省东莞市东莞市市辖区太平路82号
沃尔玛,沃尔玛购物广场东莞东湖店,广东省东莞市城区东纵大道东湖花园首层,东莞,广东省东莞市东莞市市辖区光明路14
沃尔玛, 沃尔玛购物广场东莞世博分店,东莞市东城区岗贝东城大道世博广场B区首层至三层,东莞,广东省东莞市东莞市市辖区旗峰路
沃尔玛, 沃尔玛购物广场东莞长安分店,东莞市长安镇霄边大街208号阳光国际商城霄边沃尔玛,东莞,广东省东莞市东莞市市辖区长青北路
沃尔玛, 沃尔玛购物广场东莞虎门分店,东莞市虎门镇太沙路64号虎门德兴花园步行街A-G栋,东莞,广东省东莞市东莞市市辖区虎门大道127号
沃尔玛,沃尔玛购物广场湛江康顺路分店,湛江椹川大道北376号凯德广场二、三楼,湛江,广东省湛江市赤坎区椹川大道北376号
沃尔玛,沃尔玛购物广场湛江人民大道南分店,湛江市霞山区人民大道南与民享西路交汇处国贸城市广场地下第一、二层、地上第一、五层,湛江,广东省湛江市霞山区解放西路22
沃尔玛,沃尔玛购物广场遂溪遂海路分店,广东省湛江市遂溪县遂城镇遂海路36号的全丰中央广场地下第一层,湛江,广东省湛江市遂溪县中山路131号
沃尔玛, 沃尔玛购物广场湛江赤坎店,广东省湛江市赤坎区中山一路2号世贸大厦首层至三层,湛江,广东省湛江市赤坎区椹川大道北101号
沃尔玛,沃尔玛购物广场茂名文化广场分店,广东省茂名市西粤中路8号,茂名,广东省茂名市茂南区油城九路2号
沃尔玛,沃尔玛购物广场韶关新华南路分店,韶关市武江区新华南路16号世纪新城广场2-3层,韶关,广东省韶关市武江区惠民南路91号
沃尔玛,沃尔玛购物广场肇庆端州四路分店,肇庆市端州四路牌坊广场东侧凯德广场2~3楼,肇庆,广东省肇庆市端州区端州三路37号
沃尔玛,沃尔玛购物广场肇庆康乐北路分店,肇庆市康乐北路9号国际新天地地上第二、三层,肇庆,广东省肇庆市端州区康乐北路32号
沃尔玛,沃尔玛购物广场肇庆广宁环城东路分店,肇庆市广宁县南街镇环城东路广宁商业步行街F区地上第一、二层,肇庆,广东省肇庆市广宁县环城东路
沃尔玛,沃尔玛购物广场拱北迎宾南路分店,珠海市岭南路68号负一层商业,珠海,广东省珠海市香洲区桂花北路91号
沃尔玛,沃尔玛购物广场珠海前山分店,广东省珠海市香洲区前山招商花园城二期沃尔玛购物广场,珠海,广东省珠海市香洲区翠景路93号
沃尔玛,沃尔玛购物广场中山港义路分店,广东省中山市火炬开发区东镇东一路23号负一层,中山,广东省中山市中山市市辖区康乐三街
沃尔玛,沃尔玛购物广场英德利民路分店,英德市英城建设路东利民路南英州明珠广场二、三层,英德,广东省清远市英德市浈阳路9号
沃尔玛,沃尔玛购物广场吴川同德城分店,广东省吴川市同德路128号同德城地上第二、三层,吴川,广东省湛江市吴川市新安路104号
沃尔玛,沃尔玛购物广场广州白云新城分店,广东省广州市白云区云城南二路187号103房,广州,广东省广州市白云区广园中路238号3216房
沃尔玛, 沃尔玛购物广场广州天河店,广州市天河区天河棠下村口中山大道南,广州,广东省广州市天河区天府路1
沃尔玛, 沃尔玛购物广场广州海珠分店,广州市海珠区昌岗中路221号信和豪庭地下一层,广州,广东省广州市海珠区广州大道南999号
沃尔玛, 沃尔玛购物广场广州广源分店,广州市白云区广源新村景泰直街33号,广州,广东省广州市白云区广园中路238号3216房
沃尔玛, 沃尔玛购物广场广州淘金分店,广州市越秀区淘金路淘金街6-8号,广州,广东省广州市越秀区中山四路235号
沃尔玛, 沃尔玛购物广场广州番禺分店,广东省广州市番禺区石基镇东兴路476号,广州,广东省广州市番禺区清河东路辅路
沃尔玛, 沃尔玛购物广场广州广雅分店,广州市荔湾区环市西路52号,广州,广东省广州市荔湾区中山七路330号
沃尔玛, 沃尔玛购物广场广州新市店,广东省广州市白云区机场路1111号,广州,广东省广州市白云区广园中路238号3216房
沃尔玛, 沃尔玛购物广场广州云景分店,广州市白云区同和中云景路4号,广州,广东省广州市白云区广园中路238号3216房
沃尔玛, 沃尔玛购物广场广州黄埔店,广州是黄埔区石化路123号,广州,广东省广州市黄埔区南岗街22号
沃尔玛, 沃尔玛购物广场广州黄花岗店,广州市越秀区先烈中路92号黄花岗文化广场商贸楼二\三楼,广州,广东省广州市越秀区中山四路235号
沃尔玛, 沃尔玛购物广场广州新港店,广东省广州市海珠区新港中路356号丽影广场负一、二层,广州,广东省广州市海珠区广州大道南999号
沃尔玛, 沃尔玛购物广场广州南洲店,广州市海珠区盈中路好信街8号好信广场,广州,广东省广州市海珠区广州大道南999号
沃尔玛, 沃尔玛购物广场广州芳村店,广州市荔湾区花地大道北93-103号花地城广场地下负一层、首至三层,广州,广东省广州市荔湾区中山七路330号
沃尔玛, 沃尔玛购物广场广州黄石分店,广州市白云区黄石东路120号盈月居首层至负一层商场,广州,广东省广州市白云区广园中路238号3216房
沃尔玛,沃尔玛购物广场惠州文明一路分店,惠州市惠城区江北18号小区意生购物广场地下第一层,惠州,广东省惠州市惠城区新联路1号
沃尔玛,沃尔玛购物广场惠州鹅岭西路分店,惠州市鹅岭西路31号百利通广场第一层,惠州,广东省惠州市惠城区鹅岭北路2号
沃尔玛,沃尔玛购物广场惠州澳头分店,广东省惠州大亚湾区安惠大道64号蓝湾半岛二楼,惠州,广东省惠州市惠阳区白云三路34号
沃尔玛,沃尔玛购物广场惠州仲恺大道分店,惠州市仲恺高新区陈江街道金湖路1号,惠州,广东省惠州市惠城区仲恺大道辅路
沃尔玛,沃尔玛购物广场惠州崇雅分店,广东省惠州市惠阳区淡水镇南门北路印象汇广场2-3层,惠州,广东省惠州市惠阳区白云三路34号
沃尔玛,沃尔玛购物广场惠州演达路分店,惠州市惠城区河南岸港惠新天地二、三层,惠州,广东省惠州市惠城区新联路1号
沃尔玛,沃尔玛购物广场惠东飞鹅岭分店,广东省惠州市惠东县平山惠东大道489号沃尔玛飞鹅岭分店,惠州,广东省惠州市惠东县解放中路135-2
沃尔玛,沃尔玛购物广场汕头金砂东路分店,汕头市金砂路179号合信星湖商业城地下一层(帝豪酒店斜对面）,汕头,广东省汕头市龙湖区金砂东路
沃尔玛,沃尔玛购物广场河源中山大道分店,河源市源城区中山大道218号 万隆城广场地下一层,河源,广东省河源市源城区公园东路1号
沃尔玛,沃尔玛购物广场河源越王大道分店,河源市源城区越王大道139号负一楼,河源,广东省河源市源城区公园东路1号
沃尔玛,沃尔玛购物广场阳江西平北路分店,广东省阳江市江城区西平北路363号地上第二层和地上第三层,阳江,广东省阳江市江城区漠江路749号
沃尔玛,沃尔玛购物广场廉江廉江大道分店,广东省湛江市廉江市百信国际广场沃尔玛廉江大道分店,廉江,广东省湛江市廉江市石城路1
沃尔玛,沃尔玛购物广场清远先锋东路分店,广东省清远市清城区先锋东路3号世纪荟广场,清远,广东省清远市清城区院环西路
沃尔玛,沃尔玛购物广场普宁广达北路分店,广东省揭阳市普宁市流沙市区环市北路南侧广达北路东侧,普宁,  广东省揭阳市普宁市
沃尔玛,沃尔玛购物广场深圳中山分店,深圳市罗湖区凤凰路12号中山花园裙楼1-3楼沃尔玛购物广场,深圳,广东省深圳市罗湖区湖贝路4
沃尔玛,沃尔玛购物广场深圳福星分店,福田区福星路福民楼D、E、F、1-2楼,深圳,广东省深圳市福田区福民路105号
沃尔玛,沃尔玛购物广场深圳蛇口分店,蛇口工业大道四海加油站右侧,深圳,广东省深圳市南山区南新路3173号
沃尔玛,沃尔玛购物广场深圳华侨城分店,深圳市华侨城中旅广场群楼沃尔玛,深圳,广东省深圳市南山区兴隆西街2号
沃尔玛,沃尔玛购物广场深圳西乡前进路分店,深圳市宝安西乡前进一路482号沃尔玛,深圳,广东省深圳市宝安区裕安二路162号
沃尔玛,沃尔玛购物广场深圳布吉大芬分店,深圳市龙岗区布吉镇大芬村深惠公路旁龙吉大厦一至三层,深圳,广东省深圳市龙岗区东南路4号
沃尔玛,沃尔玛购物广场深圳洪湖店,深圳市罗湖区洪湖路湖景花园,深圳,广东省深圳市罗湖区湖贝路4
沃尔玛,沃尔玛购物广场深圳布吉锦龙路分店,深圳市龙岗区布吉锦龙路万科生活广场负一层沃尔玛,深圳,广东省深圳市龙岗区东南路4号
沃尔玛,沃尔玛购物广场松岗东方大道分店,深圳市宝安区松岗街道东方大道36号联投东方PARK-B1001铺,深圳,广东省深圳市宝安区创业路1号
沃尔玛,沃尔玛购物广场龙岗龙平东路分店,深圳市龙岗区龙平东路203号东方瑞景苑A区地上第二、三层,深圳,广东省深圳市龙岗区东南路4号
沃尔玛,沃尔玛购物广场深圳燕南路分店,深圳市福田区燕南路88号中泰燕南名庭二楼、三楼,深圳,广东省深圳市福田区福民路105号
沃尔玛,沃尔玛购物广场深圳景田分店,深圳市福田区香梅北路2001号（原山姆会员店）,深圳,广东省深圳市福田区福民路105号
沃尔玛,沃尔玛购物广场深圳横岗西分店,深圳市龙岗区龙岗大道（横岗段）2999麟恒中心广场一期127号商铺,深圳,广东省深圳市龙岗区东南路4号
沃尔玛,沃尔玛购物广场深圳龙岗建设路分店,深圳市龙岗中心城5区建设路28号宝钜商业大厦,深圳,广东省深圳市龙岗区五联一路
沃尔玛,沃尔玛购物广场深圳龙岗峦山谷分店,深圳市龙岗区宝龙工业城振业峦山谷花园（一期）2、3栋商场复式117号大厦地上第一层,深圳,广东省深圳市龙岗区东南路4号
沃尔玛,沃尔玛购物广场深圳宝安沙井分店,广东省深圳市宝安区沙井镇沙井街道新沙路西荟城购物广场,深圳,广东省深圳市宝安区创业路1号
沃尔玛,沃尔玛购物广场深圳龙华人民南路分店,深圳龙华新区人民南路水榭春天负一层,深圳,广东省深圳市宝安区丰益路3
沃尔玛,沃尔玛购物广场深圳宝安金海路分店,广东省深圳市宝安区宝安大道与金海路交汇处金港华庭沃尔玛地上1-3层,深圳,广东省深圳市宝安区创业路1号
沃尔玛,沃尔玛购物广场深圳新安罗田分店,深圳市宝安区新湖路君逸世家地下第一层及地上第一层,深圳,广东省深圳市宝安区创业路1号
沃尔玛, 沃尔玛购物广场深圳翠竹分店,广东省深圳市罗湖区翠竹路旭飞华达园负一层,深圳,广东省深圳市罗湖区湖贝路4
沃尔玛, 沃尔玛购物广场深圳大益店,深圳市宝安区西乡大道大益广场商场1-3层,深圳,广东省深圳市宝安区创业路1号
沃尔玛, 沃尔玛购物广场深圳红岭店,深圳市福田区八卦二路旭飞花园B栋1-2层,深圳,广东省深圳市福田区福民路105号
沃尔玛, 沃尔玛购物广场深圳嘉宾店,广东省深圳市罗湖区书城路1号都市名园裙楼,深圳,广东省深圳市罗湖区湖贝路4
沃尔玛, 沃尔玛购物广场深圳坪地龙岗大道分店,深圳市龙岗区坪地街道龙岗大道3018号宜城广场A区1楼01号铺、A区负1楼01号铺,深圳,广东省深圳市龙岗区东南路4号
沃尔玛,沃尔玛购物广场南宁朝阳路分店,广西南宁市兴宁区青云街18号悦荟广场沃尔玛,南宁,广西壮族自治区南宁市兴宁区厢竹大道63号-5楼-514号
沃尔玛,沃尔玛购物广场南宁民族大道分店,广西南宁市青秀区南宁民族大道131号航洋国际购物中心负二层,南宁,广西壮族自治区南宁市青秀区仙葫大道1号-5楼
沃尔玛,沃尔玛购物广场南宁明秀西路分店,南宁市西乡塘区明秀西路111号正恒国际广场负一楼,南宁,广西壮族自治区南宁市西乡塘区衡阳西路6号
沃尔玛,沃尔玛购物广场南宁永和路分店,广西省南宁市西乡塘区永和路19号沃尔玛超市,南宁,广西壮族自治区南宁市西乡塘区衡阳西路6号
沃尔玛,沃尔玛购物广场南宁长堽西路分店,南宁市兴宁区望州南路90号时代茗城,南宁,广西壮族自治区南宁市兴宁区厢竹大道63号-5楼-514号
沃尔玛,沃尔玛购物广场桂林中山北路分店,桂林市叠彩区中山北路597号广运美居沃尔玛,桂林,广西壮族自治区桂林市叠彩区凤北路8号
沃尔玛,沃尔玛购物广场钦州钦州湾大道分店,广西钦州市钦州湾大道年年丰广场地上第二/三层,钦州,广西壮族自治区钦州市钦南区新阳街7
沃尔玛,沃尔玛购物广场广西来宾桂中大道分店,广西省来宾市桂中大道368号大地景苑 方盛广场,来宾,广西壮族自治区来宾市兴宾区政和路
沃尔玛,沃尔玛购物广场梧州新兴二路分店,梧州市新兴二路130号,梧州,广西壮族自治区梧州市长洲区新兴二路6-8号
沃尔玛,沃尔玛购物广场贵阳沙冲路分店,贵州省 贵阳市南明区 沙冲路 贵铁新苑地下一层,贵阳,贵州省贵阳市南明区箭道街48号
沃尔玛,沃尔玛购物广场贵阳人民广场分店,贵州省贵阳市南明区遵义路人民广场地下商场,贵阳,贵州省贵阳市南明区箭道街48号
沃尔玛,沃尔玛购物广场贵阳贵乌北路分店,贵州省贵阳市贵乌北路187号中大国际,贵阳,贵州省贵阳市云岩区贵乌北路2号
沃尔玛,沃尔玛购物广场贵阳黄河路店,贵州省贵阳市小河区黄河路42号沃尔玛购物广场,贵阳,贵州省贵阳市花溪区G321(沪瑞线)
沃尔玛,沃尔玛购物广场贵阳林城西路分店,贵州省贵阳市观山湖区诚信北路8号,贵阳,贵州省贵阳市乌当区育新路1号
沃尔玛,沃尔玛购物广场六盘水钟山中路分店,贵州省六盘水市钟山中路沃尔玛购物广场钟山中路分店,六盘水,贵州省六盘水市钟山区中山中路66号
沃尔玛,沃尔玛购物广场遵义春天堡分店,遵义市红花岗区外环路财富国际广场地上第二、三层　,遵义,贵州省遵义市红花岗区G210(包南线)
沃尔玛,沃尔玛购物广场遵义纪念广场分店,贵州省遵义市红花岗区老城新街A区沃尔玛（贵州）百货有限公司遵义纪念广场分店,遵义,贵州省遵义市红花岗区G210(包南线)
沃尔玛,沃尔玛购物广场毕节文博路分店,贵州省毕节市七星关区南部新区招商花园城沃尔玛,毕节市,贵州省毕节市七星关区开行路
沃尔玛,沃尔玛购物广场廊坊朝阳分店,河北省廊坊市广阳区爱民道与和平路交口,廊坊,河北省廊坊市广阳区康宁道2号
沃尔玛,沃尔玛购物广场保定朝阳大街分店,河北省保定市新市区朝阳北大街99号 万博广场负一层,保定,河北省保定市新市区五四西路318号
沃尔玛,沃尔玛购物广场邯郸东柳大街分店,邯郸市丛台路与东柳大街交叉口中道广场地下第一层,邯郸,河北省邯郸市邯郸县丛台路
沃尔玛,沃尔玛购物广场石家庄南三条分店,唐山市路南区新华东道100号万达广场负一层沃尔玛超市,唐山,河北省唐山市路南区新华西道68号
沃尔玛,,河北省邢台市桥东区中兴东大街18号世贸天街负一层沃尔玛超市,邢台,河北省邢台市桥东区凤凰街10号
沃尔玛,沃尔玛购物广场三河燕郊神威北路分店,河北省廊坊市三河市燕郊开发区神威北路与燕灵路交汇处鑫乐汇购物广场负一层,三河,河北省廊坊市三河市
沃尔玛,沃尔玛购物广场哈尔滨友谊路分店,黑龙江省哈尔滨道里区友谊路187号,哈尔滨,黑龙江省哈尔滨市道里区安化街136号
沃尔玛,沃尔玛购物广场哈尔滨先锋路分店,哈尔滨市道外区先锋路475号,哈尔滨,黑龙江省哈尔滨市道里区安化街136号
沃尔玛, 沃尔玛购物广场哈尔滨十字街分店,黑龙江哈尔滨市南岗区十字街58号,哈尔滨,黑龙江省哈尔滨市道里区安化街136号
沃尔玛, 沃尔玛购物广场哈尔滨安埠分店,黑龙江省哈尔滨市香坊区安埠街300号,哈尔滨,黑龙江省哈尔滨市道里区安化街136号
沃尔玛,沃尔玛购物广场齐齐哈尔解放门分店,齐齐哈尔市清真路18号中瑞商城地上第二层及第三层,齐齐哈尔,黑龙江省齐齐哈尔市建华区广信路76号
沃尔玛,沃尔玛购物广场安阳人民大道分店,河南省安阳市北关区人民大道86号,安阳,河南省安阳市北关区灯塔路185
沃尔玛,沃尔玛购物广场郑州中原西路分店,河南省郑州市中原区中原路与秦岭路交汇处万达广场地下第一层,郑州,河南省郑州市中原区桐柏北路200号
沃尔玛,沃尔玛购物广场商丘民主路分店,河南省商丘市梁园区民主路与凯旋路交叉口向西100米路北,商丘,河南省商丘市梁园区锦绣路6号
沃尔玛,沃尔玛购物广场信阳人民路分店,河南省信阳市浉河区人民路与民权路交叉口,信阳,河南省信阳市浉河区行政大道6号
沃尔玛,沃尔玛购物广场鹤壁鹤煤大道分店,河南省鹤壁市鹤煤大道与兴鹤大街交叉口417号银兴国际广场2至3层,鹤壁,河南省鹤壁市淇滨区鹤煤大道
沃尔玛,沃尔玛购物广场武汉中山大道分店,武汉市江汉区民生路176路,武汉,湖北省武汉市江汉区新华路255号
